Repository ID	Model ID	Reaction in Repository
rxn02414	RXN-1104	CAFFEATE-O-METHYLTRANSFERASE-RXN
rxn17983	RXN-1827	3.2.1.68-RXN
rxn00616	RXN-6841	GLYC3PDEHYDROG-RXN
rxn00102	RXN0-5224	CARBODEHYDRAT-RXN
rxn26498	RXN1F-10	PROTOCHLOROPHYLLIDE-REDUCTASE-RXN
rxn04978	RXN1F-153	RXN-325
rxn04979	RXN1F-154	RXN-314
rxn03911	RXN66-306	1.3.1.70-RXN
rxn00527	TYROSINE-AMINOTRANSFERASE-RXN	TYRAMINOTRANS-RXN
rxn00083	TransHgnase	PYRNUTRANSHYDROGEN-RXN
