Repository ID	Model ID	Reaction in Repository
rxn14003	R_TMB02	R_TMB01
rxn14003	R_TMB03	R_TMB01
rxn14003	R_TMB04	R_TMB01
rxn14003	R_TMB05	R_TMB01
rxn14003	R_TMB06	R_TMB01
rxn14003	R_TMB07	R_TMB01
rxn14003	R_TMB08	R_TMB01
rxn14003	R_TMB09	R_TMB01
rxn14003	R_TMB10	R_TMB01
rxn14003	R_TMB11	R_TMB01
rxn14003	R_TMB12	R_TMB01
rxn14003	R_TMB13	R_TMB01
rxn08704	R_FA_p	R_TCP31
rxn00062	R_R01719_c	R_R00086_c
rxn01997	R_R06513_c	R_R02771_c
rxn06000	R_R01433_c	R_R04937_c
rxn01000	R_R01373N_c	R_R01373_c
