Repository ID	Model ID	Reaction in Repository
rxn00293	R00416_c	R00415_c
rxn00062	R01719_c	R00086_c
rxn01997	R06513_c	R02771_c
rxn02814	R07437_c	R04004_c
rxn01505	R08193_c	R02086_c
rxn00553	R06073_c	R00766_c
rxn02596	R06152_c	R03634_c
rxn00020	R06092_c	R00026_c
rxn00647	R00895_c	R00896_c
rxn00704	R00959_c	R08639_c
rxn00489	R00690_c	R00698_c
rxn01615	R07254_c	R02257_c
rxn07759	R06512_c	R07969_c
rxn05319	cpTrasport_C00001_m	cmTrasport_C00001_m
rxn10826	cmTrasport_C01353_x	cpTrasport_C01353_x
