S_(2E)-Octadecenoyl-[acp]_c	(2E)-Octadecenoyl-[acp]
S_Holo-[carboxylase]_c	Holo-[carboxylase]
S_Isopnetenyladenosine-5'-diphosphate_c	Isopnetenyladenosine-5'-diphosphate
S_Lactose 6-phosphate_c	Lactose 6-phosphate
S_Lipoyl-[acp]_c	Lipoyl-[acp]
S_Malonyl-[acyl-carrier protein]_c	Malonyl-[acyl-carrier protein]
S_Malonyl-[acyl-carrier protein]_p	Malonyl-[acyl-carrier protein]
S_Monofucosyllactoisooctaosylceramide_c	Monofucosyllactoisooctaosylceramide
S_Octadecanoyl-[acyl-carrier protein]_c	Octadecanoyl-[acyl-carrier protein]
S_Octanoyl-[acp]_c	Octanoyl-[acp]
S_Octanoyl-[acp]_p	Octanoyl-[acp]
S_Poly-L-glutamate_c	Poly-L-glutamate
S_R-S-Alanine_c	R-S-Alanine
S_R-S-Alanylglycine_c	R-S-Alanylglycine
S_R_c	R
S_S-Benzoate coenzyme A_c	S-Benzoate coenzyme A
S_Tetradecanoyl-[acp]_c	Tetradecanoyl-[acp]
S_Tetradecanoyl-[acp]_p	Tetradecanoyl-[acp]
S_Tetrahydrofolyl-[Glu](2)_c	Tetrahydrofolyl-[Glu](2)
S_Tetrahydrofolyl-[Glu](n)_c	Tetrahydrofolyl-[Glu](n)
S_[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine_c	[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine
S_[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine_c	[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine
S_[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine_c	[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine
S_[Dihydrolipoyllysine-residue succinyltransferase]S-succinyldihydrolipoyllysine_m	[Dihydrolipoyllysine-residue succinyltransferase]S-succinyldihydrolipoyllysine
S_cis-3,4-leucopelargonidin:NADP+ 4-oxidoreductase; Luteoforol_c	cis-3,4-leucopelargonidin:NADP+ 4-oxidoreductase; Luteoforol
S_hv_ext	hv_ext
S_hv_p	hv_p
S_trans-Dec-2-enoyl-[acp]_c	trans-Dec-2-enoyl-[acp]
S_trans-Dec-2-enoyl-[acp]_p	trans-Dec-2-enoyl-[acp]
S_trans-Dodec-2-enoyl-[acp]_c	trans-Dodec-2-enoyl-[acp]
S_trans-Dodec-2-enoyl-[acp]_p	trans-Dodec-2-enoyl-[acp]
S_trans-Hex-2-enoyl-[acp]_c	trans-Hex-2-enoyl-[acp]
S_trans-Hex-2-enoyl-[acp]_p	trans-Hex-2-enoyl-[acp]
S_trans-Hexadec-2-enoyl-[acp]_c	trans-Hexadec-2-enoyl-[acp]
S_trans-Hexadec-2-enoyl-[acp]_p	trans-Hexadec-2-enoyl-[acp]
S_trans-Oct-2-enoyl-[acp]_c	trans-Oct-2-enoyl-[acp]
S_trans-Oct-2-enoyl-[acp]_p	trans-Oct-2-enoyl-[acp]
S_trans-Tetradec-2-enoyl-[acp]_c	trans-Tetradec-2-enoyl-[acp]
S_trans-Tetradec-2-enoyl-[acp]_p	trans-Tetradec-2-enoyl-[acp]
S_trans-Zeatin riboside  monophosphate_c	trans-Zeatin riboside  monophosphate
